region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
1100015,2020-08-06,estimate,7,9,9,0,2,0,7,0,21
1100015,2020-08-07,estimate,7,9,9,0,2,0,7,0,20
1100015,2020-08-08,estimate,7,9,9,0,2,0,7,0,20
1100015,2020-08-09,estimate,6,9,9,0,2,0,6,0,20
1100015,2020-08-10,estimate,3,4,5,0,1,0,3,0,10
1100015,2020-08-11,estimate,10,14,14,2,5,0,10,0,32
1100015,2020-08-12,estimate,6,8,8,0,2,0,6,0,19
1100015,2020-08-13,estimate,7,10,9,0,2,0,7,0,22
1100015,2020-08-14,estimate,7,10,9,0,2,0,7,0,21
1100015,2020-08-15,estimate,6,9,9,0,2,0,6,0,20
1100015,2020-08-16,estimate,6,9,9,0,2,0,6,0,20
1100015,2020-08-17,estimate,3,4,5,0,1,0,3,0,10
1100015,2020-08-18,estimate,11,15,14,0,4,0,11,0,32
1100015,2020-08-19,estimate,6,8,8,0,2,0,6,0,18
1100015,2020-08-20,estimate,7,10,10,0,2,0,7,0,21
1100015,2020-08-21,estimate,7,10,9,0,2,0,7,0,22
1100015,2020-08-22,estimate,7,9,9,0,2,0,7,0,20
1100015,2020-08-23,estimate,7,9,9,0,2,0,7,0,21
1100015,2020-08-24,estimate,3,4,5,0,1,0,3,0,11
1100015,2020-08-25,estimate,11,15,14,2,5,0,11,0,33
1100015,2020-08-26,estimate,6,8,8,0,2,0,6,0,18
1100015,2020-08-27,estimate,7,9,9,0,2,0,7,0,21
1100015,2020-08-28,estimate,7,9,9,0,2,0,7,0,20
1100015,2020-08-29,estimate,6,9,10,0,2,0,6,0,20
1100015,2020-08-30,estimate,6,9,9,0,2,0,6,0,20
1100015,2020-08-31,estimate,3,4,5,0,1,0,3,0,11
1100015,2020-09-01,estimate,11,15,15,0,4,0,11,0,33
1100015,2020-09-02,estimate,6,8,9,0,2,0,6,0,18
1100015,2020-09-03,estimate,7,9,9,0,2,0,7,0,22
1100015,2020-09-04,estimate,6,9,11,0,2,0,7,0,21
1100015,2020-09-05,estimate,6,9,9,0,2,0,6,0,20
1100015,2020-09-06,estimate,6,9,11,0,2,0,6,0,21
1100015,2020-09-07,estimate,3,5,7,0,1,0,3,0,10
1100015,2020-09-08,estimate,11,15,20,0,4,0,11,0,33
1100015,2020-09-09,estimate,6,8,9,0,2,0,6,0,18
1100015,2020-09-10,estimate,6,10,12,0,2,0,6,0,21
1100015,2020-09-11,estimate,6,9,13,0,2,0,6,0,21
1100015,2020-09-12,estimate,6,9,15,0,2,0,6,0,20
1100015,2020-09-13,estimate,6,9,11,0,2,0,6,0,22
1100015,2020-09-14,estimate,3,5,17,0,1,0,3,0,10
1100015,2020-09-15,estimate,10,15,26,2,5,0,10,0,32
1100015,2020-09-16,estimate,5,8,11,0,2,0,5,0,18
1100015,2020-09-17,estimate,7,11,30,0,2,0,7,0,23
1100015,2020-09-18,estimate,6,10,41,0,2,0,6,0,21
1100015,2020-09-19,estimate,6,9,11,0,2,0,6,0,20
1100015,2020-09-20,estimate based on partial data,6,10,22,0,2,0,6,0,21
1100015,2020-09-21,estimate based on partial data,3,5,7,0,1,0,3,0,10
1100015,2020-09-22,estimate based on partial data,10,17,79,0,4,0,11,0,33
1100015,2020-09-23,estimate based on partial data,6,8,12,0,2,0,6,0,18
1100015,2020-09-24,estimate based on partial data,7,11,58,0,2,0,7,0,22
1100015,2020-09-25,estimate based on partial data,6,10,15,0,2,0,6,0,22
1100015,2020-09-26,estimate based on partial data,6,10,48,0,2,0,6,0,19
1100015,2020-09-27,estimate based on partial data,6,10,23,0,2,0,6,0,20
1100015,2020-09-28,estimate based on partial data,3,7,100,0,1,0,3,0,10
1100015,2020-09-29,estimate based on partial data,10,16,51,0,3,0,10,0,34
1100015,2020-09-30,estimate based on partial data,5,9,30,0,2,0,5,0,18
1100015,2020-10-01,forecast,6,13,156,0,2,0,6,0,21
1100015,2020-10-02,forecast,6,12,91,0,2,0,6,0,20
1100015,2020-10-03,forecast,6,9,26,0,2,0,6,0,20
1100015,2020-10-04,forecast,6,12,137,0,2,0,6,0,19
1100015,2020-10-05,forecast,3,6,77,0,1,0,3,0,11
1100015,2020-10-06,forecast,10,17,54,0,3,0,10,0,33
1100015,2020-10-07,forecast,5,11,101,0,1,0,5,0,19
1100023,2020-08-20,estimate,51,75,78,1,18,1,51,0,169
1100023,2020-08-21,estimate,48,71,76,0,16,0,48,0,155
1100023,2020-08-22,estimate,36,53,57,0,13,0,36,0,121
1100023,2020-08-23,estimate,35,51,54,0,11,0,35,0,116
1100023,2020-08-24,estimate,24,37,39,0,8,0,24,0,89
1100023,2020-08-25,estimate,25,39,42,0,8,0,25,0,95
1100023,2020-08-26,estimate,36,56,62,3,15,0,36,0,129
1100023,2020-08-27,estimate,46,70,73,0,14,0,47,0,161
1100023,2020-08-28,estimate,44,64,66,1,15,0,44,0,149
1100023,2020-08-29,estimate,34,51,55,0,10,0,34,0,125
